outputFiles/noOfCallsAdmitted, flowId, globalCallsInProgress, simTime


 1 	 1 	 1 	 1010829.704000
 2 	 2 	 2 	 1019469.704000
 3 	 3 	 2 	 1027629.704000
 4 	 4 	 3 	 1035669.704000
 5 	 5 	 4 	 1049589.704000
 6 	 6 	 5 	 1069449.704000
 7 	 7 	 4 	 1103109.704000
 8 	 10 	 1 	 1293670.680000
 9 	 12 	 1 	 1361229.704000
 10 	 13 	 2 	 1388589.704000
 11 	 15 	 1 	 1632009.704000
 12 	 17 	 1 	 1786209.704000
