	60.4444444444444
10	60.4444444444444
20	60.4444444444444
30	60.4444444444444
40	60.4444444444444
50	60.4444444444444
60	60.4444444444444
70	60.4444444444444
80	60.4444444444444
90	60.4444444444444
100	60.4444444444444
110	60.4444444444444
120	60.4444444444444
130	60.4444444444444
140	60.4444444444444
150	60.4444444444444
160	60.4444444444444
170	60.4444444444444
180	60.4444444444444
190	60.4444444444444
200	60.4444444444444
210	60.4444444444444
220	60.4444444444444
230	60.4444444444444
240	60.4444444444444
250	60.4444444444444
260	60.4444444444444
270	60.4444444444444
280	60.4444444444444
290	60.4444444444444
300	60.4444444444444
310	60.4444444444444
320	60.4444444444444
330	60.4444444444444
340	60.4444444444444
350	60.4444444444444
360	60.6666666666667
370	60.6666666666667
380	60.6666666666667
390	60.6666666666667
400	60.6666666666667
410	60.8888888888889
420	60.8888888888889
430	60.8888888888889
440	60.8888888888889
450	60.8888888888889
460	60.8888888888889
470	61.1111111111111
480	61.3333333333333
490	61.3333333333333
500	61.3333333333333
510	61.3333333333333
520	61.3333333333333
530	61.3333333333333
540	61.5555555555556
550	61.5555555555556
560	61.5555555555556
570	61.7777777777778
580	61.7777777777778
590	61.7777777777778
600	61.7777777777778
610	61.7777777777778
620	61.7777777777778
630	61.7777777777778
640	61.7777777777778
650	61.7777777777778
660	61.7777777777778
670	62
680	62.2222222222222
690	62.2222222222222
700	62.2222222222222
710	62.2222222222222
720	62.2222222222222
730	62.2222222222222
740	62.2222222222222
750	62.2222222222222
760	62.4444444444444
770	62.4444444444444
780	62.4444444444444
790	62.8888888888889
800	62.8888888888889
810	62.8888888888889
820	62.8888888888889
830	62.8888888888889
840	62.8888888888889
850	63.3333333333333
860	63.3333333333333
870	63.5555555555556
880	63.5555555555556
890	63.7777777777778
900	63.7777777777778
910	64
920	64.2222222222222
930	64.2222222222222
940	64.2222222222222
950	64.2222222222222
960	64.2222222222222
970	64.2222222222222
980	64.2222222222222
990	64.2222222222222
1000	64.2222222222222
1010	64.2222222222222
1020	64.2222222222222
1030	64.2222222222222
1040	64.2222222222222
1050	64.2222222222222
1060	64.2222222222222
1070	64.6666666666667
1080	64.6666666666667
1090	64.6666666666667
1100	64.6666666666667
1110	64.6666666666667
1120	64.6666666666667
1130	64.8888888888889
1140	65.3333333333333
1150	65.3333333333333
1160	65.5555555555556
1170	65.5555555555556
1180	65.5555555555556
1190	65.7777777777778
1200	65.7777777777778
1210	66.4444444444444
1220	66.6666666666667
1230	66.8888888888889
1240	66.8888888888889
1250	66.8888888888889
1260	67.1111111111111
1270	67.3333333333333
1280	67.7777777777778
1290	68
1300	68
1310	68.2222222222222
1320	68.6666666666667
1330	68.6666666666667
1340	68.6666666666667
1350	68.8888888888889
1360	68.8888888888889
1370	68.8888888888889
1380	69.1111111111111
1390	69.1111111111111
1400	69.1111111111111
1410	69.3333333333333
1420	69.3333333333333
1430	69.3333333333333
1440	69.3333333333333
1450	69.5555555555556
1460	69.5555555555556
1470	69.5555555555556
1480	69.5555555555556
1490	69.7777777777778
1500	70
1510	70.2222222222222
1520	70.4444444444444
1530	70.8888888888889
1540	71.1111111111111
1550	71.3333333333333
1560	71.3333333333333
1570	71.7777777777778
1580	72.2222222222222
1590	72.2222222222222
1600	72.2222222222222
1610	72.4444444444444
1620	72.4444444444444
1630	72.4444444444444
1640	72.6666666666667
1650	72.6666666666667
1660	72.6666666666667
1670	72.6666666666667
1680	72.8888888888889
1690	73.1111111111111
1700	73.1111111111111
1710	73.3333333333333
1720	73.5555555555556
1730	73.7777777777778
1740	73.7777777777778
1750	73.7777777777778
1760	73.7777777777778
1770	73.7777777777778
1780	73.7777777777778
1790	73.7777777777778
1800	74.2222222222222
1810	74.6666666666667
1820	74.6666666666667
1830	74.6666666666667
1840	74.6666666666667
1850	74.6666666666667
1860	74.8888888888889
1870	75.1111111111111
1880	75.3333333333333
1890	75.5555555555556
1900	75.5555555555556
1910	75.5555555555556
1920	76
1930	76.2222222222222
1940	76.2222222222222
1950	76.2222222222222
1960	76.4444444444444
1970	76.6666666666667
1980	76.8888888888889
1990	77.3333333333333
2000	77.3333333333333
2010	77.3333333333333
2020	77.5555555555556
2030	77.7777777777778
2040	78.2222222222222
2050	78.6666666666667
2060	78.6666666666667
2070	78.6666666666667
2080	78.6666666666667
2090	78.6666666666667
2100	78.8888888888889
2110	78.8888888888889
2120	79.1111111111111
2130	79.3333333333333
2140	79.5555555555556
2150	79.7777777777778
2160	80
2170	80.4444444444444
2180	80.4444444444444
2190	80.4444444444444
2200	80.8888888888889
2210	80.8888888888889
2220	81.3333333333333
2230	81.5555555555556
2240	81.5555555555556
2250	81.5555555555556
2260	81.5555555555556
2270	81.7777777777778
2280	82.2222222222222
2290	82.2222222222222
2300	82.2222222222222
2310	82.2222222222222
2320	82.2222222222222
2330	82.2222222222222
2340	82.6666666666667
2350	82.8888888888889
2360	82.8888888888889
2370	82.8888888888889
2380	82.8888888888889
2390	82.8888888888889
2400	82.8888888888889
2410	82.8888888888889
2420	82.8888888888889
2430	82.8888888888889
2440	83.1111111111111
2450	83.3333333333333
2460	83.3333333333333
2470	83.3333333333333
2480	83.7777777777778
2490	84
2500	84
2510	84.2222222222222
2520	84.4444444444444
2530	84.4444444444444
2540	84.4444444444444
2550	84.4444444444444
2560	84.6666666666667
2570	84.8888888888889
2580	84.8888888888889
2590	85.1111111111111
2600	85.1111111111111
2610	85.7777777777778
2620	85.7777777777778
2630	85.7777777777778
2640	85.7777777777778
2650	85.7777777777778
2660	85.7777777777778
2670	85.7777777777778
2680	85.7777777777778
2690	85.7777777777778
2700	86
2710	86.2222222222222
