	0.366300366300366
1	0.366300366300366
2	0.366300366300366
3	13.9194139194139
4	37.3626373626374
5	56.043956043956
6	78.3882783882784
7	89.7435897435897
8	94.8717948717949
9	98.1684981684982
10	100
11	100
